X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8835976.705,5413641.538,356015,GO-20232041150,2023/09/01 04:00:00+00,2022/11/25 05:00:00+00,2023,September,1,244,Friday    ,12,2022,November,25,329,Friday    ,19,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.37492924,43.66432327
-8836444.48,5410819.359,356016,GO-20232040661,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,21,2023,September,1,244,Friday    ,8,D52,Go Train,Transit,1610,220,Robbery - Other,Robbery,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.37913134,43.64598086
-8848842.753,5425988.183,356017,GO-20232045403,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,21,2023,September,1,244,Friday    ,21,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,100,Robbery With Weapon,Robbery,27,York University Heights,27,York University Heights (27),-79.49050692,43.74450294
-8822377.94,5419741.083,356018,GO-20232046314,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,23,2023,September,1,244,Friday    ,23,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),-79.25276946,43.70394739
-8852598.836,5407055.557,356019,GO-20232044242,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,18,2023,September,1,244,Friday    ,18,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.52424838,43.62150976
-8833119.946,5426965.204,356020,GO-20232041239,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,12,2023,September,1,244,Friday    ,12,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.34926654,43.75084318
-8838988.207,5409267.22,356021,GO-20232046259,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,23,2023,September,1,244,Friday    ,23,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1420,100,Assault With Weapon,Assault,163,Fort York-Liberty Village,82,Niagara (82),-79.40198203,43.63589053
-8843563.124,5415133.471,356022,GO-20232046222,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,23,2023,September,1,244,Friday    ,23,D13,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),-79.4430792,43.67401765
-8832624.637,5430331.294,356023,GO-20232046210,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,23,2023,September,1,244,Friday    ,23,D33,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,53,Henry Farm,53,Henry Farm (53),-79.34481711,43.7726818
-8859014.926,5413116.492,356024,GO-20232042990,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,15,2023,September,1,244,Friday    ,15,D22,Pharmacy,Other,1610,210,Robbery - Business,Robbery,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),-79.58188511,43.66091123
-8847704.652,5427500.269,356025,GO-20232043714,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,17,2023,September,1,244,Friday    ,17,D32,Ttc Subway Station,Transit,1610,100,Robbery With Weapon,Robbery,155,Downsview,26,Downsview-Roding-CFB (26),-79.48028319,43.75431512
-8836471.181,5413263.954,356026,GO-20232043143,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,16,2023,September,1,244,Friday    ,16,D51,Convenience Stores,Commercial,1460,100,Assault Peace Officer,Assault,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.37937119,43.66186954
-8841424.08,5425197.074,356027,GO-20232045861,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,22,2023,September,1,244,Friday    ,22,D32,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.42386384,43.73936866
-8842571.044,5423631.568,356028,GO-20232046115,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,23,2023,September,1,244,Friday    ,12,D32,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,1430,100,Assault,Assault,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.4341672,43.72920726
-8835033.695,5411840.924,356029,GO-20232045783,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,22,2023,September,1,244,Friday    ,22,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,73,Moss Park,73,Moss Park (73),-79.36645803,43.65262105
-8831619.852,5426922.634,356030,GO-20232038664,2023/09/01 04:00:00+00,2023/08/31 04:00:00+00,2023,September,1,244,Friday    ,6,2023,August,31,243,Thursday  ,0,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,149,Parkwoods-O'Connor Hills,45,Parkwoods-Donalda (45),-79.33579097,43.75056694
-8838301.354,5431741.623,356031,GO-20232045697,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,21,2023,September,1,244,Friday    ,21,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,152,East Willowdale,51,Willowdale East (51),-79.39581192,43.7818294
-8856233.58,5405304.238,356032,GO-20232045098,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,20,2023,September,1,244,Friday    ,20,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1410,100,Aggravated Assault,Assault,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.55689984,43.61011982
-8836439.88,5411984.057,356033,GO-20232040221,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,12,2023,September,1,244,Friday    ,10,D51,Convenience Stores,Commercial,1430,100,Assault,Assault,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.37909001,43.65355136
-8857119.912,5416645.508,356034,GO-20232040172,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,10,2023,September,1,244,Friday    ,10,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,7,Willowridge-Martingrove-Richview,7,Willowridge-Martingrove-Richview (7),-79.5648619,43.68384106
-8836439.88,5411984.057,356035,GO-20232040221,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,12,2023,September,1,244,Friday    ,10,D51,Convenience Stores,Commercial,1430,100,Assault,Assault,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.37909001,43.65355136
-8837821.05,5420384.903,356036,GO-20232036686,2023/09/01 04:00:00+00,2023/08/31 04:00:00+00,2023,September,1,244,Friday    ,2,2023,August,31,243,Thursday  ,22,D53,"Open Areas (Lakes, Parks, Rivers)",Outside,1610,100,Robbery With Weapon,Robbery,173,North Toronto,104,Mount Pleasant West (104),-79.39149727,43.70812828
-8827899.003,5417994.941,356037,GO-20232042472,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,14,2023,September,1,244,Friday    ,14,D55,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,61,Taylor-Massey,61,Taylor-Massey (61),-79.30236601,43.69260671
-8836953.327,5413168.012,356038,GO-20232042393,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,14,2023,September,1,244,Friday    ,14,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1480,100,Assault - Resist/ Prevent Seiz,Assault,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.38370239,43.66124604
-8836992.787,5412426.897,356039,GO-20232038766,2023/09/01 04:00:00+00,2023/08/30 04:00:00+00,2023,September,1,244,Friday    ,7,2023,August,30,242,Wednesday ,1,D52,Bar / Restaurant,Commercial,2120,200,B&E,Break and Enter,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.38405686,43.65642955
-8858941.542,5411585.134,356040,GO-20232042674,2023/09/01 04:00:00+00,2023/09/01 04:00:00+00,2023,September,1,244,Friday    ,15,2023,September,1,244,Friday    ,15,D22,Pharmacy,Other,1610,210,Robbery - Business,Robbery,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),-79.58122588,43.65095847
