OCC_HOUR,LOCATION_TYPE,PREMISES_TYPE,MCI_CATEGORY,LONG_WGS84,LAT_WGS84
19,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3749292402446,43.6643232733062
8,Go Train,Transit,Robbery,-79.3791313378142,43.6459808612379
21,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.4905069173786,43.7445029394442
23,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.2527694587459,43.7039473929273
18,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.5242483845821,43.621509762339
12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.3492665443486,43.7508431808321
23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.4019820278959,43.635890531166
23,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4430792004909,43.6740176534655
23,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3448171064078,43.7726817993276
15,Pharmacy,Other,Robbery,-79.5818851055921,43.6609112254039
17,Ttc Subway Station,Transit,Robbery,-79.4802831859042,43.7543151238464
16,Convenience Stores,Commercial,Assault,-79.3793711924586,43.6618695365329
22,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4238638409563,43.7393686614134
12,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,Assault,-79.4341671956099,43.729207257698
22,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.36645803492,43.6526210479349
0,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.3357909684573,43.7505669442962
21,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.3958119191834,43.7818294047606
20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.5568998425087,43.6101198168381
10,Convenience Stores,Commercial,Assault,-79.3790900115346,43.6535513557375
10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.5648618987354,43.6838410627134
10,Convenience Stores,Commercial,Assault,-79.3790900115346,43.6535513557375
22,"Open Areas (Lakes, Parks, Rivers)",Outside,Robbery,-79.3914972727584,43.7081282794901
14,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3023660089616,43.6926067114773
14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.3837023902441,43.6612460366714
1,Bar / Restaurant,Commercial,Break and Enter,-79.3840568644154,43.6564295465581
15,Pharmacy,Other,Robbery,-79.5812258799237,43.6509584735105
20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Theft Over,-79.5369961329099,43.5936520792748
7,Bar / Restaurant,Commercial,Break and Enter,-79.2659148434498,43.7274027836565
7,Ttc Bus,Transit,Assault,-79.3470416798389,43.7558055672475
7,"Construction Site (Warehouse, Trailer, Shed)",Commercial,Break and Enter,-79.3946310785083,43.6699259993196
8,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Theft Over,-79.3423156515623,43.6844256400075
7,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.5821487402664,43.7387093269928
20,"Private Property Structure (Pool, Shed, Detached Garage)",Other,Break and Enter,-79.4997824986707,43.7210443988266
13,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Theft Over,-79.3101853986464,43.7590251075468
21,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4159980347347,43.7816314770614
20,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4015353041953,43.6671556846282
19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.3787192801191,43.6425441404092
3,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.4341845025936,43.6619978169949
14,"Gas Station (Self, Full, Attached Convenience)",Commercial,Robbery,-79.5748712424087,43.7643484492227
14,Pharmacy,Other,Robbery,-79.4961465445377,43.6772353574569
17,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.5036381802578,43.702272855618
18,"Open Areas (Lakes, Parks, Rivers)",Outside,Assault,-79.4017734056293,43.6538761661056
3,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4435480137006,43.7187731805056
0,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Break and Enter,-79.4781846362935,43.7596225165868
0,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.3357909684573,43.7505669442962
0,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4288549874133,43.6386469409024
10,Convenience Stores,Commercial,Assault,-79.3790900115346,43.6535513557375
20,Ttc Street Car,Transit,Assault,-79.3835749391268,43.6479181857978
13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.4535011666995,43.6756432968952
16,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.3450119246828,43.6731419171788
17,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.2480811739989,43.7366903339619
20,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,0,0
8,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.3739133977562,43.6553555954437
0,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.3790900115346,43.6535513557375
8,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.3739133977562,43.6553555954437
2,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4023930592675,43.643187873894
15,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.4938604962201,43.760979150601
9,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4411388319556,43.6538444636824
3,"Dealership (Car, Motorcycle, Marine, Trailer, Etc.)",Commercial,Break and Enter,-79.4802872352088,43.6707175216628
3,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3812402633073,43.7102065273207
0,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2051114234209,43.765038253658
11,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4452187925296,43.6595062340422
11,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3461787582004,43.680685324817
10,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Robbery,-79.4864487005524,43.7447713436292
23,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.3772108676691,43.6635929654536
3,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.4435480137006,43.7187731805056
2,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.5029117381179,43.7038756769542
2,Universities / Colleges,Educational,Assault,-79.5100682515695,43.7177090288019
2,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.5055908766933,43.7041223293554
0,Ttc Subway Station,Transit,Assault,-79.4159980347347,43.7816314770614
14,Pharmacy,Other,Robbery,-79.5619358087259,43.6342188463536
1,"Religious Facilities (Synagogue, Church, Convent, Mosque)",Other,Break and Enter,-79.300748429165,43.7611872627481
0,Convenience Stores,Commercial,Break and Enter,-79.2512960338484,43.7187576896613
0,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.5821487402664,43.7387093269928
